cohorte,dimension,nivel,en_riesgo
2022,sector,48-49,3021
2022,sector,51,371
2022,sector,52,865
2022,sector,53,1193
2022,sector,54,3530
2022,sector,55,36
2022,sector,56,2251
2022,sector,61,626
2022,sector,62,3816
2022,sector,71,1298
2022,sector,72,5496
2022,sector,81,3791
2022,sector,92,13
2023,sector,11,498
2023,sector,21,76
2023,sector,22,51
2023,sector,23,6677
2023,sector,31-33,3007
2023,sector,42,2232
2023,sector,44-45,6122
2023,sector,48-49,3323
2023,sector,51,449
2023,sector,52,801
2023,sector,53,1284
2023,sector,54,4603
2023,sector,55,13
2023,sector,56,2919
2023,sector,61,718
2023,sector,62,4385
2023,sector,71,1815
2023,sector,72,6545
2023,sector,81,4673
2023,sector,92,6
2024,sector,11,520
2024,sector,21,65
2024,sector,22,79
2024,sector,23,8434
2024,sector,31-33,3545
2024,sector,42,2757
2024,sector,44-45,6895
2024,sector,48-49,3249
2024,sector,51,601
2024,sector,52,966
2024,sector,53,1258
2024,sector,54,6120
2024,sector,55,28
2024,sector,56,3566
2024,sector,61,927
2024,sector,62,5722
2024,sector,71,2160
2024,sector,72,7181
2024,sector,81,5931
2024,sector,92,28
2025,sector,11,507
2025,sector,21,85
2025,sector,22,75
2025,sector,23,8269
2025,sector,31-33,3447
2025,sector,42,2389
2025,sector,44-45,6881
2025,sector,48-49,2824
2025,sector,51,574
2025,sector,52,1069
2025,sector,53,1182
2025,sector,54,6283
2025,sector,55,42
2025,sector,56,3611
2025,sector,61,1028
2025,sector,62,6059
2025,sector,71,2346
2025,sector,72,7365
2025,sector,81,6236
2025,sector,92,18
